,online_order,book_table,Ratings,Votes,Rest_Type,dish_liked,Cuisines,Cost_of_2_people,Type,City
19472,1,0,3.7,132,13,3987,505,400.0,1,13
19481,1,0,2.7,85,13,3876,497,500.0,1,13
19482,0,0,3.8,63,13,652,333,500.0,1,13
19483,1,1,3.9,488,13,3287,713,700.0,1,13
19484,1,0,3.8,187,13,136,340,500.0,1,13
19486,1,0,4.5,1187,29,2328,936,500.0,2,13
19487,1,0,4.1,52,72,4571,1528,250.0,2,13
19488,1,0,4.1,786,62,3456,1607,300.0,2,13
19489,1,0,4.0,203,70,1393,1129,200.0,2,13
19490,1,0,4.0,75,72,4029,874,300.0,2,13
19491,1,0,3.9,248,62,4063,203,400.0,2,13
19492,1,0,3.8,100,72,292,1062,400.0,2,13
19493,1,0,3.8,630,29,4421,929,450.0,2,13
19494,1,0,4.2,1280,20,2007,105,900.0,2,13
19495,1,0,4.3,287,29,18,1163,400.0,2,13
19496,1,0,3.9,175,72,3132,286,450.0,2,13
19498,1,0,4.5,557,30,409,778,400.0,2,13
19499,1,0,3.4,151,62,4051,1052,400.0,2,13
19501,1,0,4.1,212,9,4548,225,150.0,2,13
19502,1,0,4.3,164,62,669,323,500.0,2,13
19506,1,0,4.2,190,62,2288,1655,300.0,2,13
19508,1,0,3.8,376,62,4675,1364,500.0,2,13
19509,1,0,4.1,562,62,254,1557,150.0,2,13
19510,1,0,3.8,256,20,3030,283,800.0,2,13
19511,1,0,3.5,735,20,1940,47,600.0,2,13
19512,0,0,3.9,625,20,3292,560,600.0,2,13
19513,1,0,3.7,215,62,4182,1044,200.0,2,13
19514,1,0,4.3,248,29,357,1399,500.0,2,13
19515,1,0,4.3,1588,20,3254,152,550.0,2,13
19516,1,0,2.9,258,62,3566,1163,250.0,2,13
19517,1,0,4.0,412,62,5214,84,300.0,2,13
19518,1,0,3.7,132,13,3987,505,400.0,2,13
19519,1,0,4.2,95,11,5164,215,400.0,2,13
19520,1,0,3.9,331,13,4882,1202,200.0,2,13
19522,1,0,4.0,199,62,2274,1163,300.0,2,13
19523,1,0,4.2,67,62,3899,1520,500.0,2,13
19524,1,0,4.1,239,62,897,1638,200.0,2,13
19525,1,0,3.7,476,62,4932,1242,450.0,2,13
19527,1,0,3.7,219,67,4383,1517,600.0,2,13
19530,1,0,4.0,776,20,1103,239,800.0,2,13
19531,1,0,3.9,181,62,4115,1471,250.0,2,13
19532,1,0,3.8,1073,20,2404,236,500.0,2,13
19533,1,0,4.2,1076,69,912,1128,400.0,2,13
19534,1,0,4.2,466,62,2085,1066,400.0,2,13
19535,1,0,3.8,101,62,902,1646,200.0,2,13
19536,1,0,4.2,556,62,5071,1682,400.0,2,13
19537,1,0,3.6,132,62,3571,1184,250.0,2,13
19539,1,0,3.9,62,62,2141,325,300.0,2,13
19540,1,0,3.8,541,20,4287,1360,700.0,2,13
19541,1,0,3.9,89,62,355,1388,400.0,2,13
19542,1,0,4.4,827,30,2340,962,400.0,2,13
19548,1,0,4.1,304,62,1679,1579,200.0,2,13
19549,1,0,3.5,93,72,4023,271,600.0,2,13
19550,1,0,3.9,187,62,3049,295,600.0,2,13
19551,1,1,4.2,357,20,4769,151,800.0,2,13
19556,1,0,3.9,1045,62,507,324,600.0,2,13
19557,1,0,3.9,984,62,4676,1363,500.0,2,13
19558,1,0,4.5,339,33,3342,784,300.0,2,13
19559,1,0,3.6,519,20,1688,1599,400.0,2,13
19560,1,0,3.9,65,62,1939,236,700.0,2,13
19565,1,0,4.0,130,62,2636,1163,150.0,2,13
19566,1,0,4.2,505,13,5182,486,550.0,2,13
19567,1,0,3.7,108,9,2566,222,150.0,2,13
19568,1,0,3.9,57,62,1242,236,300.0,2,13
19569,1,0,4.0,80,62,1814,1085,100.0,2,13
19570,1,0,4.0,335,62,3171,1599,300.0,2,13
19572,1,0,4.0,1986,20,2489,295,800.0,2,13
19574,1,0,4.0,253,30,1639,778,300.0,2,13
19575,1,0,3.5,49,62,2163,312,300.0,2,13
19576,1,0,3.700448817952718,0,20,984,1382,600.0,2,13
19577,1,0,3.8,99,20,2752,1599,350.0,2,13
19579,1,0,3.8,184,62,4224,863,400.0,2,13
19580,1,0,4.0,351,62,502,323,400.0,2,13
19582,1,0,3.9,753,20,1734,1284,500.0,2,13
19584,1,0,3.9,421,20,4666,112,800.0,2,13
19585,1,0,2.7,159,62,4045,1475,750.0,2,13
19586,1,1,4.6,2604,22,2005,1478,600.0,2,13
19589,1,0,3.4,137,72,265,283,500.0,2,13
19590,1,0,3.8,53,62,3957,923,350.0,2,13
19592,1,0,3.9,211,11,4967,783,400.0,2,13
19593,1,0,3.8,52,62,2752,1599,300.0,2,13
19594,1,0,4.0,113,62,2793,593,400.0,2,13
19596,1,1,4.0,206,62,3618,1486,700.0,2,13
19597,1,0,4.1,232,0,467,181,500.0,2,13
19599,1,0,4.2,449,62,4784,1557,100.0,2,13
19600,1,0,4.3,632,62,3575,1464,200.0,2,13
19603,1,0,4.2,369,72,2208,1475,600.0,2,13
19604,1,1,4.1,176,20,2035,1601,500.0,2,13
19605,1,0,4.2,703,30,1921,182,450.0,2,13
19608,1,0,4.1,381,62,4331,84,250.0,2,13
19609,1,1,4.1,2725,20,777,297,800.0,2,13
19611,1,0,2.9,132,62,2566,567,300.0,2,13
19612,1,0,3.9,183,62,4263,1507,300.0,2,13
19620,1,0,3.9,172,29,3418,1475,750.0,2,13
19622,1,0,3.9,323,20,1133,1203,650.0,2,13
19624,1,0,3.7,171,62,1605,867,200.0,2,13
19625,1,0,4.3,338,20,3267,557,800.0,2,13
19626,1,0,4.6,409,20,1135,0,1000.0,2,13
19627,1,0,3.9,499,62,867,1648,300.0,2,13
19629,1,0,3.2,209,12,2239,1662,250.0,2,13
19630,1,0,4.1,240,30,4247,959,500.0,2,13
19631,1,0,4.1,164,62,5211,686,500.0,2,13
19633,1,0,4.2,103,62,2967,538,300.0,2,13
19634,1,1,3.5,551,20,2487,1243,600.0,2,13
19635,1,0,3.7,98,62,1038,1393,350.0,2,13
19636,1,1,3.9,295,13,636,369,650.0,2,13
19638,1,0,3.6,382,20,4876,1043,600.0,2,13
19639,1,0,4.2,971,62,2032,1557,200.0,2,13
19640,1,0,3.9,439,20,2493,198,650.0,2,13
19641,1,0,3.9,358,62,916,1203,400.0,2,13
19642,1,1,4.1,367,20,3248,1675,1200.0,2,13
19644,1,0,4.1,414,12,4502,1032,300.0,2,13
19646,1,0,2.8,152,20,281,1213,700.0,2,13
19647,1,0,3.8,140,62,2752,1601,200.0,2,13
19648,1,0,3.5,80,62,4204,1680,250.0,2,13
19649,1,0,4.0,166,62,5028,1599,400.0,2,13
19650,1,0,3.9,137,62,3502,1657,400.0,2,13
19652,1,0,4.1,268,45,1987,1687,300.0,2,13
19653,1,0,4.2,450,13,4541,363,400.0,2,13
19654,1,1,4.1,1547,20,2371,165,1000.0,2,13
19656,1,0,3.9,48,69,4436,1128,100.0,2,13
19658,1,0,4.0,53,29,2854,1119,600.0,2,13
19660,1,1,4.2,2123,20,3911,1491,800.0,2,13
19661,1,1,4.2,543,26,4588,1272,1000.0,2,13
19664,1,0,3.7,118,62,3031,267,400.0,2,13
19665,1,1,4.2,2211,60,1573,10,1200.0,2,13
19668,1,0,3.6,218,20,367,287,600.0,2,13
19669,1,0,4.0,958,20,2964,1679,500.0,2,13
19670,1,0,3.8,111,20,2641,43,800.0,2,13
19672,1,0,4.1,511,30,3165,794,500.0,2,13
19673,1,0,4.3,723,62,2129,822,400.0,2,13
19679,1,0,3.7,93,62,2841,1638,200.0,2,13
19680,1,0,2.9,67,20,1965,1470,500.0,2,13
19681,1,0,4.1,93,13,980,384,600.0,2,13
19682,1,0,3.8,579,20,5113,1429,900.0,2,13
19688,1,0,4.2,55,9,5055,211,400.0,2,13
19689,1,0,4.0,207,29,4096,1188,450.0,2,13
19691,1,1,4.2,1700,13,649,460,650.0,2,13
19693,1,0,3.9,102,30,453,962,400.0,2,13
19697,1,0,4.2,529,62,2965,1679,450.0,2,13
19700,1,1,4.2,179,20,4163,930,800.0,2,13
19703,1,0,4.3,245,62,3275,1678,600.0,2,13
19706,1,0,3.9,104,62,2205,822,200.0,2,13
19707,1,0,4.0,85,62,24,861,400.0,2,13
19708,1,0,4.5,155,9,4557,229,300.0,2,13
19709,0,0,4.2,3236,25,3426,1163,1600.0,2,13
19710,1,0,4.1,613,20,4931,161,500.0,2,13
19711,1,0,3.5,221,70,861,1126,400.0,2,13
19712,1,0,3.7,666,20,2101,202,650.0,2,13
19714,1,1,4.5,803,20,3423,719,800.0,2,13
19715,1,0,3.0,74,20,299,1163,500.0,2,13
19716,1,0,4.0,910,62,3164,1116,600.0,2,13
19718,1,0,3.9,85,62,4930,1500,300.0,2,13
19719,1,0,4.1,55,13,3704,503,600.0,2,13
19720,1,0,4.5,2608,33,716,961,500.0,2,13
19721,1,1,4.4,201,13,4350,499,800.0,2,13
19723,1,0,3.7,65,20,4836,98,800.0,2,13
19729,1,0,4.1,205,62,4868,822,250.0,2,13
19730,1,0,3.7,328,72,382,1192,500.0,2,13
19733,1,0,4.6,4675,46,2705,32,1500.0,2,13
19734,1,1,4.2,488,13,2915,390,800.0,2,13
19737,1,0,3.8,151,30,5133,778,350.0,2,13
19738,1,0,4.1,339,62,3274,549,300.0,2,13
19739,1,1,4.3,4321,52,4011,627,1600.0,2,13
19741,1,0,4.8,186,30,3149,772,400.0,2,13
19743,1,0,3.8,295,62,630,323,500.0,2,13
19745,1,0,3.9,106,29,1149,924,600.0,2,13
19748,1,0,4.2,192,62,2804,1646,250.0,2,13
19749,1,0,4.0,108,62,726,330,500.0,2,13
19750,1,0,3.2,64,62,3553,1275,250.0,2,13
19751,1,0,4.0,36,32,2742,780,300.0,2,13
19753,1,0,4.2,53,30,5179,778,400.0,2,13
19758,1,0,2.5,321,62,4677,1248,400.0,2,13
19760,1,0,3.8,69,62,4780,1461,200.0,2,13
19761,1,0,3.9,349,20,3256,611,600.0,2,13
19766,1,0,3.4,277,66,887,1465,250.0,2,13
19771,1,0,3.9,52,62,2767,1597,200.0,2,13
19772,1,0,4.0,186,2,1911,188,500.0,2,13
19776,1,0,3.1,89,62,2240,1381,350.0,2,13
19779,1,1,4.2,1541,20,3453,1060,800.0,2,13
19780,1,0,3.6,241,62,2996,1203,300.0,2,13
19784,1,1,4.1,1064,21,3665,993,1200.0,2,13
19785,1,0,4.1,137,13,4377,453,1200.0,2,13
19788,1,0,4.1,61,30,1408,797,450.0,2,13
19789,1,0,3.9,171,62,165,1069,300.0,2,13
19791,1,0,4.2,533,20,2928,602,600.0,2,13
19793,1,0,3.6,197,20,4187,599,800.0,2,13
19794,1,0,3.9,212,20,4420,926,500.0,2,13
19795,1,0,4.3,289,62,515,6,400.0,2,13
19798,1,0,4.2,147,9,258,216,400.0,2,13
19799,1,0,2.8,91,62,620,1680,400.0,2,13
19801,1,0,3.9,554,62,1618,823,600.0,2,13
19803,1,0,3.5,240,20,1120,1420,1000.0,2,13
19805,1,0,4.2,171,13,5141,362,600.0,2,13
19806,1,1,3.9,74,20,2067,1341,700.0,2,13
19807,1,0,3.7,37,29,984,283,600.0,2,13
19811,1,0,3.9,386,62,5008,1486,600.0,2,13
19816,1,0,3.3,394,62,2082,1163,400.0,2,13
19819,1,0,3.9,135,62,4203,871,350.0,2,13
19824,1,0,4.3,480,13,4855,513,450.0,2,13
19825,1,0,3.9,93,62,850,231,200.0,2,13
19828,1,0,3.9,441,62,4216,1197,500.0,2,13
19829,1,0,3.7,237,62,984,1581,200.0,2,13
19831,1,1,3.7,206,57,2878,537,1000.0,2,13
19832,1,1,4.1,220,20,658,1246,600.0,2,13
19833,1,0,4.1,91,0,1799,181,500.0,2,13
19834,1,0,4.0,229,30,4237,962,500.0,2,13
19838,1,1,4.3,1265,22,3027,928,800.0,2,13
19839,1,0,4.2,600,30,4451,778,900.0,2,13
19840,1,0,3.700448817952718,0,13,1713,383,400.0,2,13
19842,1,0,4.0,41,41,5133,443,400.0,2,13
19843,1,0,3.9,69,12,4543,1029,150.0,2,13
19844,1,0,4.1,799,13,3897,438,400.0,2,13
19846,1,0,4.2,340,30,1338,778,500.0,2,13
19848,1,1,4.2,325,20,2119,1212,800.0,2,13
19849,1,0,3.8,924,16,1410,485,800.0,2,13
19850,1,0,3.9,113,62,943,1659,200.0,2,13
19851,1,0,4.0,1310,20,2133,627,750.0,2,13
19852,1,0,3.9,676,20,2602,1163,500.0,2,13
19853,1,0,3.8,156,20,3732,1607,450.0,2,13
19854,1,0,4.0,241,13,2150,333,700.0,2,13
19855,1,0,4.0,131,30,2423,955,230.0,2,13
19856,1,0,3.6,41,13,2151,402,600.0,2,13
19859,1,0,4.0,190,29,2290,236,650.0,2,13
19860,1,1,4.5,715,20,3908,1015,1500.0,2,13
19862,1,0,3.9,110,30,2216,956,200.0,2,13
19864,1,0,3.1,320,20,2063,1361,700.0,2,13
19866,1,0,3.8,339,20,1935,65,800.0,2,13
19869,1,0,4.0,204,14,4864,351,500.0,2,13
19870,1,0,3.5,177,62,2111,204,500.0,2,13
19871,1,0,3.7,59,62,947,1163,200.0,2,13
19872,1,0,3.6,90,62,568,831,500.0,2,13
19881,1,0,4.1,193,30,3325,794,300.0,2,13
19883,1,0,3.8,55,62,5188,959,250.0,2,13
19884,1,1,4.4,3932,25,160,716,1600.0,2,13
19886,1,0,3.9,237,62,2011,1561,200.0,2,13
19888,1,0,4.0,468,20,799,1607,600.0,2,13
19890,1,0,4.0,328,13,3882,463,700.0,2,13
19891,1,0,4.0,164,29,984,44,300.0,2,13
19894,1,0,3.8,62,62,3105,204,300.0,2,13
19897,1,0,3.8,46,62,3862,1475,450.0,2,13
19900,1,0,3.3,94,62,5215,96,200.0,2,13
19901,1,0,3.2,49,62,4695,120,300.0,2,13
19902,0,0,4.3,142,70,3307,1127,200.0,2,13
19903,1,0,4.4,944,13,171,436,900.0,2,13
19904,1,1,3.700448817952718,0,20,5014,68,900.0,2,13
19906,1,0,3.7,47,66,324,849,400.0,2,13
19907,1,1,4.2,153,13,2905,463,600.0,2,13
19908,1,0,3.0,290,62,1117,1222,450.0,2,13
19909,1,1,4.2,1033,21,4615,616,1100.0,2,13
19912,1,0,3.8,659,20,2985,618,500.0,2,13
19914,1,0,4.4,360,30,3806,778,400.0,2,13
19916,1,0,4.2,251,30,1301,778,300.0,2,13
19917,1,0,3.9,97,62,591,973,1000.0,2,13
19919,1,1,4.1,459,20,744,697,700.0,2,13
19920,1,0,3.9,91,13,2932,440,300.0,2,13
19922,1,0,3.2,908,20,371,1388,600.0,2,13
19925,1,0,3.7,386,62,2740,1484,400.0,2,13
19927,1,0,4.0,63,62,2249,229,150.0,2,13
19928,1,0,3.6,207,20,72,1056,500.0,2,13
19929,1,1,4.1,590,21,4742,690,1200.0,2,13
19930,1,0,3.8,75,69,877,1128,200.0,2,13
19931,1,1,4.1,1781,57,1475,886,1200.0,2,13
19940,1,0,3.8,257,29,2307,1203,300.0,2,13
19942,1,0,3.9,153,41,455,428,400.0,2,13
19943,0,0,4.4,1830,62,4494,878,200.0,2,13
19944,1,0,3.5,80,20,321,72,750.0,2,13
19947,1,0,3.8,265,20,213,1161,650.0,2,13
19948,1,0,4.0,198,30,448,772,300.0,2,13
19952,0,0,4.0,336,20,2233,1180,550.0,2,13
19953,1,0,3.8,208,19,572,371,400.0,2,13
19956,1,0,2.8,45,20,3778,1493,800.0,2,13
19957,1,0,3.5,888,20,4291,1382,650.0,2,13
19960,1,0,3.7,54,13,3654,360,600.0,2,13
19961,1,0,3.6,68,20,145,198,700.0,2,13
19963,1,0,4.2,249,32,4973,211,500.0,2,13
19966,1,1,4.1,446,60,3780,694,1200.0,2,13
19968,1,0,3.9,453,20,4583,198,600.0,2,13
19972,1,1,4.2,344,20,3399,1163,700.0,2,13
19974,1,0,3.9,74,20,3886,129,800.0,2,13
19978,1,0,4.4,658,12,3393,218,600.0,2,13
19980,1,0,4.2,265,13,4524,390,700.0,2,13
19983,1,0,3.9,138,62,3805,1334,300.0,2,13
19985,1,0,3.7,43,62,3999,1203,500.0,2,13
19986,1,0,4.1,176,20,459,68,800.0,2,13
19987,1,0,4.0,77,62,4657,1029,150.0,2,13
19988,1,0,2.9,42,62,2810,1440,250.0,2,13
19989,1,0,3.8,171,62,19,1163,250.0,2,13
19991,1,0,3.8,61,62,4746,1027,100.0,2,13
19992,0,0,3.9,77,41,852,1573,1200.0,2,13
19993,1,0,3.8,75,62,4518,841,200.0,2,13
19994,1,0,3.9,410,20,2582,1203,500.0,2,13
19995,1,1,4.5,1878,13,881,395,900.0,2,13
19997,1,0,4.4,149,72,1324,215,350.0,2,13
19999,1,0,4.1,30,9,2749,232,100.0,2,13
20001,1,1,4.3,2565,4,309,690,1200.0,2,13
20002,0,1,4.2,738,13,3964,394,800.0,2,13
20003,1,1,4.4,385,21,3944,1114,1500.0,2,13
20004,1,0,4.2,166,62,2245,822,300.0,2,13
20005,1,0,3.8,76,62,1681,1599,300.0,2,13
20006,1,0,3.9,128,20,2763,1578,500.0,2,13
20008,1,0,4.0,137,62,5046,1581,350.0,2,13
20009,1,0,3.9,1139,20,325,1359,500.0,2,13
20010,1,0,4.3,64,30,5010,1686,250.0,2,13
20012,1,0,3.8,614,13,3703,473,600.0,2,13
20013,1,0,3.7,72,20,1136,1216,450.0,2,13
20014,1,0,3.9,181,30,5169,772,400.0,2,13
20015,1,1,4.4,456,21,1234,1163,1500.0,2,13
20017,1,0,2.7,85,13,3876,497,500.0,2,13
20018,1,0,4.0,76,62,4870,1612,300.0,2,13
20021,1,0,3.9,234,20,1754,1013,800.0,2,13
20028,1,1,4.4,344,21,169,542,1000.0,2,13
20032,1,0,3.9,152,29,3688,1303,500.0,2,13
20033,1,0,3.9,392,20,2264,917,750.0,2,13
20034,1,0,2.5,35,62,106,822,200.0,2,13
20038,1,0,3.7,55,62,1673,1630,200.0,2,13
20041,0,1,4.1,114,13,3662,380,800.0,2,13
20043,1,1,4.0,1017,58,233,887,1300.0,2,13
20044,1,0,3.8,145,13,3624,534,700.0,2,13
20045,1,0,2.8,138,62,2472,1461,300.0,2,13
20046,1,1,4.1,975,54,1546,1320,1500.0,2,13
20047,1,0,4.2,116,12,4504,218,400.0,2,13
20052,1,0,3.8,41,62,356,236,200.0,2,13
20057,1,0,3.7,514,13,3903,459,600.0,2,13
20058,1,0,3.9,919,4,219,1273,1000.0,2,13
20059,1,0,3.6,68,62,265,257,400.0,2,13
20061,1,1,4.2,239,22,551,350,600.0,2,13
20062,1,0,3.9,157,20,2713,1203,450.0,2,13
20064,1,0,3.6,192,29,1224,923,450.0,2,13
20065,1,1,4.0,1384,20,794,676,1100.0,2,13
20066,1,0,3.3,397,62,3479,1203,300.0,2,13
20067,1,0,4.1,464,13,1693,345,500.0,2,13
20070,1,0,3.9,203,62,3989,1461,300.0,2,13
20072,1,0,3.8,100,13,513,489,700.0,2,13
20073,1,1,4.2,2710,13,1699,405,1000.0,2,13
20074,1,0,3.9,70,30,5133,851,400.0,2,13
20075,1,0,3.9,247,13,2686,407,400.0,2,13
20078,1,0,3.0,57,20,4176,606,650.0,2,13
20079,1,0,4.2,1061,13,1619,395,800.0,2,13
20083,1,0,3.8,76,62,2536,203,500.0,2,13
20092,1,0,3.0,57,62,2578,1336,400.0,2,13
20093,0,0,4.2,128,29,4145,774,400.0,2,13
20096,1,1,4.1,1244,20,768,1163,600.0,2,13
20100,1,1,4.0,791,20,1628,698,1300.0,2,13
20103,1,0,4.1,205,30,1306,962,300.0,2,13
20106,1,0,2.9,95,29,637,1440,700.0,2,13
20108,1,0,4.4,7220,20,1050,305,600.0,2,13
20112,1,0,3.9,339,62,1171,257,300.0,2,13
20113,1,0,4.2,465,62,2666,1186,300.0,2,13
20116,1,0,4.0,187,62,265,43,400.0,2,13
20122,1,0,3.8,149,20,1172,278,600.0,2,13
20125,1,0,4.1,140,20,2359,1495,800.0,2,13
20127,1,0,4.1,130,13,3926,474,650.0,2,13
20131,1,0,2.6,208,20,1805,604,650.0,2,13
20133,1,1,4.2,869,13,3611,340,600.0,2,13
20134,1,1,4.0,350,20,4625,1529,1200.0,2,13
20135,1,0,3.3,128,62,2611,1203,300.0,2,13
20137,1,0,4.0,1782,62,1740,1453,200.0,2,13
20139,1,1,4.2,294,20,4629,1542,800.0,2,13
20140,1,0,4.1,56,62,3804,822,500.0,2,13
20142,1,0,3.9,257,20,1011,50,500.0,2,13
20146,1,0,3.8,469,20,2824,1215,750.0,2,13
20148,1,0,3.9,455,20,3282,522,1000.0,2,13
20151,1,1,4.0,150,20,428,708,1100.0,2,13
20152,1,0,3.9,187,62,2935,565,400.0,2,13
20154,1,0,4.3,326,20,5089,1557,400.0,2,13
20160,0,0,3.9,56,30,3753,800,200.0,2,13
20161,0,1,3.6,570,20,225,703,800.0,2,13
20162,1,0,3.9,92,62,1703,1612,300.0,2,13
20167,1,0,4.2,1654,20,3269,611,600.0,2,13
20168,1,0,3.8,90,13,2180,333,650.0,2,13
20172,1,0,3.9,214,20,341,1247,600.0,2,13
20173,1,0,4.3,319,62,2516,1557,100.0,2,13
20175,1,0,4.0,62,62,3872,992,400.0,2,13
20176,1,0,3.9,191,62,1947,257,300.0,2,13
20177,1,0,3.5,56,30,5157,964,400.0,2,13
20178,1,1,4.0,235,20,4656,1148,800.0,2,13
20180,1,0,2.5,157,13,1724,347,450.0,2,13
20183,1,0,3.8,42,62,3942,837,400.0,2,13
20188,1,1,4.1,553,20,3666,997,900.0,2,13
20189,1,1,3.8,72,62,1143,1506,400.0,2,13
20193,1,0,4.2,296,62,3460,1163,350.0,2,13
20195,1,0,3.9,126,62,1605,1599,400.0,2,13
20197,1,1,4.1,401,15,5061,423,1200.0,2,13
20198,1,1,4.1,1406,26,1545,1303,1100.0,2,13
20199,1,0,4.0,118,20,2711,606,600.0,2,13
20201,1,1,4.2,1432,20,3405,64,800.0,2,13
20203,1,0,4.0,70,30,5133,772,400.0,2,13
20205,1,0,3.6,74,62,740,324,600.0,2,13
20207,1,0,3.9,778,20,2495,267,750.0,2,13
20209,1,0,4.1,167,62,290,257,400.0,2,13
20210,1,1,3.9,488,13,3287,713,700.0,2,13
20211,1,0,3.8,33,69,4447,1124,250.0,2,13
20212,1,0,2.8,102,62,4312,1203,350.0,2,13
20214,1,0,3.7,179,62,4809,1203,400.0,2,13
20215,0,0,3.8,83,62,3053,1179,400.0,2,13
20216,1,1,4.4,100,13,3684,390,700.0,2,13
20217,1,0,4.1,600,62,3495,1163,400.0,2,13
20218,1,0,3.8,528,20,2747,1163,500.0,2,13
20219,1,0,3.7,259,20,796,1146,750.0,2,13
20221,1,0,3.9,77,30,5146,962,800.0,2,13
20222,1,0,4.6,233,13,3894,360,400.0,2,13
20223,1,0,4.0,260,62,2571,1163,300.0,2,13
20226,1,0,3.8,210,20,758,1242,600.0,2,13
20227,0,1,4.1,2312,20,3333,1203,950.0,2,13
20230,1,0,4.6,1024,17,3379,432,550.0,2,13
20232,1,0,3.8,273,20,2159,1317,900.0,2,13
20234,1,0,3.8,125,62,4315,1203,400.0,2,13
20235,1,1,4.2,1368,21,1439,123,1400.0,2,13
20237,1,0,3.9,1189,62,2617,1203,500.0,2,13
20240,1,0,3.9,64,62,482,1078,300.0,2,13
20244,1,0,4.1,1114,20,2395,290,750.0,2,13
20249,1,0,4.1,295,20,1051,251,700.0,2,13
20251,1,0,3.8,42,62,4319,1599,300.0,2,13
20252,1,0,3.9,144,20,2699,1203,550.0,2,13
20253,1,0,4.3,278,62,2538,1163,450.0,2,13
20254,1,0,3.6,34,30,4046,962,300.0,2,13
20257,1,0,4.0,510,19,1187,461,1000.0,2,13
20261,1,0,3.7,133,20,4348,609,700.0,2,13
20264,0,0,3.5,335,20,2403,1163,600.0,2,13
20265,1,1,3.9,887,20,4942,1163,900.0,2,13
20266,1,0,3.6,130,20,4623,1097,600.0,2,13
20269,1,0,2.7,73,20,4674,567,600.0,2,13
20271,1,0,4.0,869,29,4829,251,500.0,2,13
20272,1,0,4.2,310,29,59,1051,600.0,2,13
20276,1,0,3.8,75,20,2140,674,1000.0,2,13
20279,1,0,4.1,216,13,3644,392,500.0,2,13
20280,1,0,4.3,3451,20,845,1163,600.0,2,13
20282,1,0,4.0,73,0,2684,194,300.0,2,13
20283,1,0,4.4,2862,13,731,338,600.0,2,13
20284,1,1,4.4,677,20,1818,1388,1500.0,2,13
20285,1,0,3.8,244,20,3185,1095,650.0,2,13
20286,1,0,4.4,181,9,3678,232,250.0,2,13
20290,1,1,4.1,847,21,1470,1556,1100.0,2,13
20291,1,0,3.9,892,20,4720,1442,750.0,2,13
20295,1,0,3.9,85,62,1836,1163,400.0,2,13
20299,1,0,3.5,179,20,2292,1215,600.0,2,13
20300,1,1,4.3,1908,13,3709,424,800.0,2,13
20302,1,0,4.0,827,20,815,1500,500.0,2,13
20307,0,0,4.0,923,20,987,43,600.0,2,13
20308,1,0,4.1,210,32,1998,215,150.0,2,13
20312,1,0,3.6,104,20,3791,1688,700.0,2,13
20314,1,1,4.9,2202,21,1098,134,1500.0,2,13
20315,1,0,3.9,315,62,5022,1649,300.0,2,13
20316,1,0,3.6,142,20,4066,1564,750.0,2,13
20317,1,0,4.0,511,20,4017,564,750.0,2,13
20318,1,0,3.8,291,20,3316,1163,600.0,2,13
20319,1,0,4.1,740,29,1284,567,500.0,2,13
20323,1,0,3.8,139,20,4727,1229,800.0,2,13
20324,1,1,4.1,294,20,2530,944,500.0,2,13
20325,0,0,4.0,62,13,4308,333,150.0,2,13
20327,0,0,2.9,177,20,4034,1218,700.0,2,13
20328,0,1,3.8,234,20,4602,1072,1000.0,2,13
20329,1,1,4.1,1885,20,1540,1383,1200.0,2,13
20334,1,0,3.7,61,62,3305,836,350.0,2,13
20339,1,1,3.8,363,20,2313,292,600.0,2,13
20342,1,0,3.9,104,62,4783,1557,150.0,2,13
20344,1,0,3.8,106,29,3088,307,350.0,2,13
20345,0,0,4.0,147,30,91,772,400.0,2,13
20346,1,0,4.2,160,20,2590,1163,800.0,2,13
20348,1,0,4.3,2420,20,1282,1163,800.0,2,13
20350,1,0,3.6,71,62,4810,1255,350.0,2,13
20354,1,0,4.0,109,62,3535,1163,300.0,2,13
20356,1,0,4.0,233,62,2330,1571,400.0,2,13
20357,1,0,3.9,68,20,757,1172,1000.0,2,13
20358,1,0,3.9,130,62,304,1188,400.0,2,13
20359,0,0,3.2,59,16,1722,437,550.0,2,13
20361,1,0,4.1,306,13,3156,415,600.0,2,13
20366,1,0,2.6,72,62,798,1599,300.0,2,13
20367,1,0,3.8,57,20,4585,1541,700.0,2,13
20370,1,1,3.7,109,20,1119,1203,900.0,2,13
20371,1,1,3.8,765,20,2623,1163,600.0,2,13
20373,0,0,3.9,118,20,2531,1192,800.0,2,13
20375,1,0,3.7,329,20,3237,611,850.0,2,13
20378,1,0,4.1,90,62,253,1557,100.0,2,13
20382,1,0,3.4,58,13,2687,437,400.0,2,13
20383,1,0,4.1,590,20,2941,560,700.0,2,13
20384,1,0,3.9,475,20,2607,1469,600.0,2,13
20390,1,0,3.7,51,62,4,1163,300.0,2,13
20393,1,0,4.0,181,20,1954,1221,550.0,2,13
20395,1,0,3.7,195,62,3485,1163,400.0,2,13
20396,1,0,3.9,224,20,2718,522,700.0,2,13
20397,1,1,4.5,3151,21,1956,1240,1500.0,2,13
20398,1,1,4.4,3675,20,3281,608,1400.0,2,13
20399,1,1,4.1,783,20,3628,1393,800.0,2,13
20411,0,1,3.8,152,46,3059,1164,1350.0,2,13
20417,1,1,3.5,432,20,2176,1163,800.0,2,13
20418,1,1,3.8,584,20,4729,1388,1200.0,2,13
20425,0,1,3.8,176,20,3045,1164,1350.0,2,13
